created_at,text,favourites_count,retweet_count
2019-03-20T05:23:57Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",194056,56030
2019-03-20T02:11:40Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",166928,56030
2019-03-20T02:16:01Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",136663,56030
2019-03-19T18:53:10Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",130050,56030
2019-03-20T06:18:24Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",81004,56030
2019-03-20T02:55:43Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",67613,56030
2019-03-20T04:08:30Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",60004,56030
2019-03-19T18:16:39Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",59971,56030
2019-03-19T20:08:05Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",56407,56030
2019-03-19T18:45:58Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",55476,56030
2019-03-19T18:52:20Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",47672,56030
2019-03-19T22:37:41Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",46707,56030
2019-03-20T02:38:12Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",45610,56030
2019-03-20T03:12:29Z,"your chowkidar is standing firm &amp; serving the nation.

but, i am not alone.

everyone who is fighting corruption, dirt, social evils is a chowkidar.

everyone working hard for the progress of india is a chowkidar.

today, every indian is saying-#mainbhichowkidar",43457,56030
